bus;frequency;operator;osm_name;ref;carrier;v_nom;voltage;wkt_srid_4326;x;y;;;;
55;50;EnBW;Umspannwerk_Altlussheim;;substation;220.0;220000;110000;SRID=4326;POINT(8.51211132935593_49.293965649573);851.211.132.936;492.939.656.496;;
56;50;EnBW;Umspannwerk_Neurott;;substation;380.0;380000;220000;SRID=4326;POINT(8.62320967451897_49.3565822492832);862.320.967.452;493.565.822.493;;
57;50;;Umspannwerk_Oberwald;;substation;220.0;220000;110000;SRID=4326;POINT(8.44554248929306_48.9860881753906);844.554.248.929;489.860.881.754;;
58;50;EnBW;220_kV-Umspannwerk_Birkenfeld;;substation;220.0;220000;110000;SRID=4326;POINT(8.64158406338239_48.8900524832355);864.158.406.338;488.900.524.832;;
59;50;TenneT;EON_Netz;EWE;substation;380.0;380000;110000;SRID=4326;POINT(8.56374399744213_53.0317215835514);856.374.399.744;530.317.215.836;;
60;50;EON_Netz;Unterweser;UWES;substation;380.0;380000;220000;SRID=4326;POINT(8.47470704898602_53.4286511943138);847.470.704.899;534.286.511.943;;
61;50;Avacon_AG;Umspannwerk_Farge;FARG;substation;380.0;110000;;SRID=4326;POINT(8.51888180951659_53.2026352836834);851.888.180.952;532.026.352.837;;
62;50;swb_Netze_GmbH_&_Co._KG;Umspannwerk_Blockland;;substation;220.0;220000;110000;SRID=4326;POINT(8.82002487241632_53.1073882918815);882.002.487.242;531.073.882.919;;
63;50;EnBW;Buehl;;substation;220.0;220000;110000;SRID=4326;POINT(8.12076909802284_48.7048354259965);812.076.909.802;48.704.835.426;;
64;;Stadtwerke_Muenchen;Hauptumspannwerk_Menzing;MZ;substation;380.0;380000;110000;SRID=4326;POINT(11.4407746483177_48.1718035473026);114.407.746.483;481.718.035.473;;
65;;ČEPS;Hradec;;substation;380.0;400000;220000;SRID=4326;POINT(13.3264049984725_50.3463721850552);133.264.049.985;503.463.721.851;;
66;50;Tennet;EON_Netz;;substation;380.0;380000;220000;SRID=4326;POINT(12.1147644054101_49.6311550521523);121.147.644.054;496.311.550.522;;
67;50;Wesernetz;Niedervieland;NVLD;substation;380.0;380000;110000;SRID=4326;POINT(8.69516075602312_53.0925360847799);869.516.075.602;530.925.360.848;;
68;;RWE;Umspannwerk_Urberach;;substation;380.0;380000;220000;SRID=4326;POINT(8.77244296019056_49.974668665137);877.244.296.019;499.746.686.651;;
69;50;RWE;Station_Buerstadt;;substation;380.0;380000;220000;SRID=4326;POINT(8.41937105938048_49.6337356823792);841.937.105.938;496.337.356.824;;
70;;RWE;_Kraftwerke_Mainz-WiesbadenUmspannstation_Bischofsheim;;substation;380.0;380000;110000;SRID=4326;POINT(8.38855636787547_49.9823050841271);838.855.636.788;499.823.050.841;;
71;50;50Hertz;Umspannwerk_Marke;;substation;380.0;380000;110000;SRID=4326;POINT(12.2621734868101_51.7410202755519);122.621.734.868;517.410.202.756;;
72;50;50Hertz;enviaMUmspannwerk_Lauchstaedt;;substation;380.0;380000;110000;SRID=4326;POINT(11.8942661378135_51.4057031412478);118.942.661.378;514.057.031.412;;
73;50;50Hertz;Umspannwerk_Schnewalde;;substation;380.0;380000;;SRID=4326;POINT(13.1570904871893_51.8284516615019);131.570.904.872;518.284.516.615;;
74;50;50Hertz;Umspannwerk_Ragow;RAG;substation;380.0;380000;110000;SRID=4326;POINT(13.9024346886892_51.8747235190459);139.024.346.887;51.874.723.519;;
